id;start_date;end_date;language
1;2025-12-23T18:32:47;2025-12-24T11:25:59;ENGLISH
2;2025-12-24T05:00:31;2025-12-23T16:35:52;ENGLISH
3;2025-12-23T17:51:11;2025-12-23T17:11:51;FRENCH
4;2025-12-24T02:05:44;2025-12-23T22:13:32;ENGLISH
5;2025-12-23T15:44:51;2025-12-24T10:45:01;FRENCH
6;2025-12-23T21:39:51;2025-12-24T11:40:10;FRENCH
7;2025-12-23T17:00:08;2025-12-23T20:46:51;ENGLISH
8;2025-12-24T07:59:46;2025-12-24T10:25:47;ENGLISH
9;2025-12-23T16:13:00;2025-12-24T00:30:23;SPANISH
10;2025-12-24T11:47:44;2025-12-24T07:19:05;FRENCH
